title,url,summary,published_at,source,ts
财政部权威回复！20个政府采购实例答疑，可参考,http://news.10jqka.com.cn/20250906/c670943242.shtml,采购需求直接决定采购活动成败。具体而言，采购需求是指采购人为实现项目目标，拟采购的标的及其需要满足的技术、商务要求。小编汇总梳理了财政部网站关于采购需求的网友留言咨询及答复，希望为业界同仁提供参考借鉴。 Q1、请问政府采购中，已作为,2025-09-06T18:42:35+08:00,ths,1757155355
中国结算，大动作！这些机构可提交申请,http://news.10jqka.com.cn/20250906/c670943169.shtml,9月5日晚，中国结算发布了《中国证券登记结算有限责任公司公募基金行业机构投资者直销服务平台（FISP）运作管理办法》（下称《办法》）。此举是为进一步规范公募基金行业机构投资者直销服务平台运作，支持公募基金行业高质量发展。《办法》自202,2025-09-06T18:18:01+08:00,ths,1757153881
国务院国资委党委巡视组收到反映一些领导干部的问题线索，已转有关方面处理,http://news.10jqka.com.cn/20250906/c670942868.shtml,国务院国资委网站9月4日消息，日前，国务院国资委党委召开2025年第一轮巡视集中反馈会议。 国务院国资委党委书记、主任，党委巡视工作领导小组组长张玉卓出席会议并讲话。中央纪委国家监委驻国务院国资委纪检监察组组长，国务院国资委党委委员、,2025-09-06T16:09:02+08:00,ths,1757146142
交通部领导有调整,http://news.10jqka.com.cn/20250906/c670942748.shtml,交通运输部网站“交通运输部领导”一栏最新信息显示，岑晏青已任交通运输部总工程师。 据介绍，岑晏青，男，汉族，1971年1月生，研究生学历，工学博士，中共党员。 他协助部领导负责技术管理工作，受部领导委托主持研究解决重大工程技术问题，,2025-09-06T15:18:21+08:00,ths,1757143101
涉嫌严重违纪违法，十四届全国政协经济委员会副主任易会满被查,http://news.10jqka.com.cn/20250906/c670942060.shtml,北京商报讯(记者宋亦桐)9月6日，据中央纪委国家监委网站消息，十四届全国政协经济委员会副主任易会满涉嫌严重违纪违法，目前正接受中央纪委国家监委纪律审查和监察调查。,2025-09-06T11:15:40+08:00,ths,1757128540
联合国将恢复举行落实“两国方案”高级别国际会议,http://news.10jqka.com.cn/20250906/c670941796.shtml,9月5日，联合国大会决定，和平解决巴勒斯坦问题和落实“两国方案”高级别国际会议将于9月22日、即联大高级别周期间恢复举行。 联大当天不经表决通过由沙特阿拉伯提议的恢复举行这一高级别国际会议的口头决定。以色列和美国代表在口头决定通过后，,2025-09-06T10:11:05+08:00,ths,1757124665
9月份中国零售业景气指数为50.6% 创近8个月新高,http://news.10jqka.com.cn/20250906/c670942376.shtml,上证报中国证券网讯 据中国商业联合会微信公众号6日消息，中国商业联合会发布9月份中国零售业景气指数（CRPI）。数据显示，9月份，中国零售业景气指数（CRPI）为50.6%，较上月上升0.5个百分点，连续2个月上升，创近8个月新高；三大,2025-09-06T12:32:44+08:00,ths,1757133164
中国零售业景气指数创近8个月新高,http://news.10jqka.com.cn/20250906/c670942198.shtml,每经AI快讯，9月6日，中国商业联合会发布最新数据显示，9月份，中国零售业景气指数(CRPI)为50.6%，较上月上升0.5个百分点，连续2个月上升，创近8个月新高；三大类分指数的绝大多数指标本月均处于扩张区间。商品经营类指数为50.6,2025-09-06T11:47:35+08:00,ths,1757130455
50.6％！中国零售业景气指数创8个月以来新高,http://news.10jqka.com.cn/20250906/c670942183.shtml,【大河财立方消息】9月6日，中国商业联合会发布最新数据显示，9月份，中国零售业景气指数创8个月以来新高，零售行业发展向好趋势明显。 数据显示，9月份，中国零售业景气指数为50.6%，环比上升0.5个百分点，连续2个月上升。从行业分类来,2025-09-06T11:44:05+08:00,ths,1757130245
业内预计8月份CPI同比或转负 PPI同比降幅收窄,http://news.10jqka.com.cn/20250906/c670938108.shtml,近日，《证券日报》记者就8月份的居民消费价格指数(CPI)与工业生产者出厂价格指数(PPI)走势采访了多位业内人士。综合业界观点来看，8月份居民消费价格运行总体稳定，积极变化持续显现，但在市场需求修复缓慢的背景下或延续弱势。 对于8月,2025-09-06T00:02:52+08:00,ths,1757088172
8月份新增信贷、社融或环比回升,http://news.10jqka.com.cn/20250906/c670938106.shtml,今年三季度以来，货币政策继续保持适度宽松，为实体经济提供了适宜的货币金融环境。 7月份，社会融资规模、广义货币(M2)增速均维持在较高水平，新增信贷减少500亿元，社融增量1.16万亿元。当前，8月份金融数据发布在即。综合《证券日报》,2025-09-06T00:02:45+08:00,ths,1757088165
8月份全球制造业PMI为49.9% 全球经济恢复力度有所回升,http://news.10jqka.com.cn/20250905/c670936202.shtml,9月5日，中国物流与采购联合会发布数据显示，2025年8月份全球制造业PMI为49.9%，较7月份上升0.6个百分点，接近50%的荣枯线。 中国物流信息中心分析师武威对《证券日报》记者表示，综合指数变化，全球制造业PMI较7月份有所上,2025-09-05T20:51:23+08:00,ths,1757076683
CTFI综合指数创2025年6月25日以来新高，原油运价上行,http://news.10jqka.com.cn/20250905/c670925630.shtml,2025年9月5日，中国进口原油运价综合指数（CTFI综合指数）涨7.89%至1387.44点，创2025年6月25日以来新高，原油运价上行，油运相关股票或从中受益。CTFI综合指数近一周涨9.71%，年初至今涨62.44%。（数据来源：同,2025-09-05T18:35:04+08:00,ths,1757068504
